time,Open,High,Low,Close,tick_volume,spread,real_volume,MA,ATR
1763109600,4182.62,4183.11,4179.69,4180.37,1422,18,0,4188.0830000000005,4.885000000000024
1763109900,4180.37,4180.44,4171.67,4173.02,1962,18,0,4187.063,5.000714285714237
1763110200,4173.01,4175.65,4169.54,4171.92,2189,18,0,4186.1875,5.184999999999945
1763110500,4171.91,4176.73,4171.49,4175.31,1757,18,0,4185.5185,5.274999999999896
1763110800,4175.36,4176.95,4169.48,4176.12,2289,18,0,4184.8949999999995,5.487857142857073
1763111100,4176.11,4177.26,4171.52,4173.83,2261,18,0,4184.1795,5.589999999999885
1763111400,4173.81,4174.85,4170.67,4171.36,1728,18,0,4183.1455000000005,5.484285714285631
1763111700,4171.35,4173.92,4169.63,4171.01,2061,18,0,4181.968999999999,5.491428571428514
1763112000,4170.97,4172.3,4160.91,4162.81,2292,18,0,4180.421,6.097142857142769
1763112300,4162.8,4164.25,4158.83,4163.27,2142,18,0,4178.8735,5.987142857142771
1763112600,4163.29,4166.61,4162.72,4164.66,1556,18,0,4177.505,5.961428571428444
1763112900,4164.67,4168.87,4164.44,4168.66,1515,18,0,4176.450500000001,5.670714285714179
1763113200,4168.65,4174.2,4167.12,4173.86,1464,18,0,4175.6035,5.754999999999915
1763113500,4173.87,4178.93,4173.31,4178.91,1404,18,0,4175.092500000001,5.932142857142805
1763113800,4178.91,4182.09,4177.59,4180.86,1684,18,0,4174.664500000001,6.0092857142856575
1763114100,4180.86,4182.36,4178.24,4181.11,1569,18,0,4174.547,5.677142857142826
1763114400,4181.1,4182.13,4178.47,4180.72,2076,18,0,4174.5075,5.502142857142839
1763114700,4180.8,4181.48,4173.46,4173.54,2202,18,0,4174.280000000001,5.700714285714249
1763115000,4173.57,4178.36,4173.15,4174.35,2113,18,0,4173.9165,5.539285714285662
1763115300,4174.37,4184.15,4173.53,4181.93,2132,18,0,4173.880999999999,5.887857142857099
1763115600,4181.93,4183.32,4176.1,4180.9,2011,18,0,4173.907499999999,6.1049999999998885
1763115900,4180.87,4181.14,4175.96,4176.92,1519,18,0,4174.102499999999,6.16857142857134
1763116200,4176.85,4181.78,4176.05,4181.56,1697,18,0,4174.5845,5.764285714285571
1763116500,4181.59,4186.81,4181.19,4182.57,1815,18,0,4174.9475,5.778571428571338
1763116800,4182.55,4183.6,4177.09,4182.73,2288,18,0,4175.278,5.9657142857142516
1763117100,4182.72,4183.72,4177.86,4177.88,1911,18,0,4175.4805,6.06785714285713
1763117400,4177.93,4179.14,4173.4,4174.43,2168,18,0,4175.634,5.972142857142899
1763117700,4174.43,4175.95,4169.99,4175.91,2291,18,0,4175.879,5.996428571428623
1763118000,4175.84,4177.64,4167.87,4170.1,2523,18,0,4176.2435,6.372857142857226
1763118300,4170.1,4176.99,4169.55,4176.94,1746,18,0,4176.927000000001,6.6100000000000625
1763118600,4176.96,4180.41,4174.27,4174.52,1834,18,0,4177.42,6.7871428571428885
1763118900,4174.49,4177.04,4170.83,4171.94,1674,18,0,4177.584,6.65785714285721
1763119200,4171.94,4176.39,4169.75,4172.79,2072,18,0,4177.5305,6.760000000000089
1763119500,4172.8,4173.23,4168.29,4170.04,1886,18,0,4177.0869999999995,6.354285714285782
1763119800,4170.02,4171.04,4166.41,4167.67,1519,18,0,4176.4275,6.169285714285836
1763120100,4167.68,4170.58,4167.66,4169.66,1487,18,0,4175.8550000000005,6.007857142857249
1763120400,4169.67,4171.51,4168.14,4170.83,1345,18,0,4175.360500000001,5.839285714285844
1763120700,4170.91,4171.39,4169.48,4170.44,1044,18,0,4175.2055,5.574285714285842
1763121000,4170.42,4171.68,4170.2,4170.83,1196,18,0,4175.029500000001,5.2150000000001455
1763121300,4170.7,4171.53,4168.96,4169.3,1091,18,0,4174.397999999999,4.980000000000083
1763121600,4169.31,4170.52,4167.91,4168.33,1253,18,0,4173.7695,4.756428571428647
1763121900,4168.31,4168.31,4162.63,4167.29,1965,18,0,4173.2880000000005,4.736428571428665
1763122200,4167.29,4170.05,4164.96,4165.43,1161,18,0,4172.4815,4.4021428571429295
1763122500,4165.44,4167.01,4162.85,4166.44,1524,18,0,4171.675,4.167857142857234
1763122800,4166.55,4170.65,4165.01,4167.73,1370,18,0,4170.925,4.132142857142948
1763123100,4167.72,4167.88,4164.29,4165.02,1309,18,0,4170.282,3.945000000000099
1763123400,4165.03,4165.06,4159.3,4161.43,1486,18,0,4169.632,3.882142857142948
1763123700,4161.42,4168.25,4160.75,4168.25,1543,18,0,4169.249000000001,4.065000000000119
1763124000,4168.2,4168.32,4165.69,4167.39,1033,18,0,4169.1135,3.9221428571429766
1763124300,4167.41,4169.96,4165.69,4169.33,1354,18,0,4168.733,4.018571428571574
1763124600,4169.35,4170.53,4168.9,4170.49,1050,18,0,4168.5315,3.8942857142858753
1763124900,4170.48,4170.97,4166.37,4167.88,1348,18,0,4168.3285000000005,4.086428571428704
1763125200,4167.91,4169.92,4165.64,4167.12,1326,18,0,4168.045,4.286428571428652
1763125500,4166.98,4168.14,4158.02,4159.92,1462,18,0,4167.539,4.825714285714379
1763125800,4159.91,4161.65,4150.92,4152.86,2245,18,0,4166.7985,5.405714285714306
1763126100,4152.77,4152.87,4141.85,4148.46,2169,18,0,4165.7385,5.787142857142824
1763126400,4148.52,4148.57,4142.61,4145.98,1977,18,0,4164.496,5.8492857142856725
1763126700,4145.99,4150.7,4145.93,4148.59,1839,18,0,4163.403499999999,5.8928571428570775
1763127000,4148.61,4152.64,4148.56,4152.47,1695,18,0,4162.4855,5.781428571428543
1763127300,4152.54,4156.37,4152.49,4155.52,1254,18,0,4161.7965,5.802142857142826
1763127600,4155.51,4157.83,4153.18,4153.63,1298,18,0,4161.061500000001,5.7228571428570705
1763127900,4153.53,4153.6,4144.72,4148.33,2337,18,0,4160.1134999999995,5.821428571428506
1763128200,4148.36,4151.27,4136.1,4137.63,2030,18,0,4158.7235,6.71714285714279
1763128500,4137.62,4140.11,4130.67,4132.87,2883,18,0,4157.045,7.086428571428444
1763128800,4132.8,4137.59,4130.29,4137.2,2469,18,0,4155.5185,7.491428571428449
1763129100,4137.22,4140.52,4135.15,4135.5,2371,18,0,4154.0425000000005,7.54642857142848
1763129400,4135.53,4135.53,4123.82,4125.78,2911,18,0,4152.26,8.077142857142787
1763129700,4125.83,4128.32,4115.96,4118.38,2606,18,0,4149.7665,8.237142857142771
1763130000,4118.34,4121.0,4112.42,4119.99,2870,18,0,4147.3965,8.08357142857137
1763130300,4119.98,4121.24,4110.9,4113.18,2460,18,0,4144.589000000001,8.034999999999984
1763130600,4113.19,4117.93,4110.14,4114.68,2237,18,0,4141.7985,8.165714285714264
1763130900,4114.72,4119.03,4108.92,4113.38,2282,18,0,4139.0735,8.547142857142846
1763131200,4113.19,4115.97,4107.62,4115.24,2785,18,0,4136.4794999999995,8.852142857142878
1763131500,4115.24,4118.66,4113.67,4115.9,2201,18,0,4134.2785,8.931428571428569
1763131800,4115.92,4119.44,4112.21,4112.21,2060,18,0,4132.246,9.115714285714278
1763132100,4112.26,4117.02,4109.74,4115.88,2380,18,0,4130.617,9.001428571428603
1763132400,4115.91,4118.81,4108.17,4108.25,3328,18,0,4128.7305,8.677857142857192
1763132700,4108.21,4111.61,4105.26,4107.15,2841,18,0,4126.6585,8.457142857142896
1763133000,4107.21,4107.86,4084.12,4085.82,3189,18,0,4123.326,9.631428571428582
1763133300,4085.82,4091.82,4076.41,4076.96,3319,18,0,4119.397999999999,10.348571428571404
1763133600,4076.99,4083.47,4064.91,4071.01,3811,18,0,4115.267,10.837857142857112
1763133900,4071.09,4071.48,4053.54,4055.62,3063,18,0,4110.6315,11.236428571428567
1763134200,4055.62,4063.51,4053.63,4055.36,3177,18,0,4106.518,11.329285714285723
1763134500,4055.37,4062.91,4046.38,4055.89,3519,18,0,4102.669,11.771428571428553
1763134800,4055.92,4060.08,4049.41,4054.63,2858,18,0,4098.5405,11.977142857142846
1763135100,4054.59,4057.67,4049.62,4052.1,3354,18,0,4094.3704999999995,11.830000000000025
1763135400,4052.04,4053.42,4041.17,4050.72,3476,18,0,4090.6174999999994,12.108571428571427
1763135700,4050.35,4057.01,4050.35,4055.71,3290,18,0,4087.4840000000004,12.227857142857179
1763136000,4055.72,4055.72,4037.21,4048.73,3803,18,0,4083.921,13.033571428571479
1763136300,4048.61,4054.29,4045.83,4046.37,3090,18,0,4080.580499999999,13.117857142857149
1763136600,4046.39,4054.24,4044.99,4050.15,2604,18,0,4077.3540000000003,13.018571428571411
1763136900,4050.15,4054.47,4046.3,4052.26,2497,18,0,4074.298,13.148571428571424
1763137200,4052.25,4060.24,4051.91,4058.77,2677,18,0,4071.4745000000003,12.047857142857149
1763137500,4058.79,4058.8,4051.38,4053.39,2482,18,0,4068.3489999999997,11.477142857142846
1763137800,4053.38,4057.63,4032.08,4040.6,3837,18,0,4064.7685000000006,11.976428571428576
1763138100,4040.55,4068.03,4040.05,4067.55,3488,18,0,4062.352,12.693571428571431
1763138400,4067.56,4072.47,4062.24,4067.94,3360,18,0,4060.3365,12.718571428571424
1763138700,4067.84,4072.77,4063.57,4063.58,3394,18,0,4058.1580000000004,12.195000000000002
1763139000,4063.57,4079.49,4063.19,4074.06,3463,18,0,4057.5699999999997,12.597142857142833
1763139300,4074.15,4083.88,4071.91,4082.53,3232,18,0,4057.8485,12.87714285714284
1763139600,4082.56,4082.56,4069.78,4074.32,3232,18,0,4058.014,12.914999999999964
1763139900,4074.33,4077.95,4068.36,4075.15,3070,18,0,4058.9905,13.124285714285634
1763140200,4075.11,4079.16,4070.09,4079.09,3194,18,0,4060.1770000000006,12.449999999999916
1763140500,4079.05,4081.38,4076.06,4080.51,3182,18,0,4061.4080000000004,12.22571428571421
1763140800,4080.51,4081.21,4071.37,4074.83,3039,18,0,4062.418,12.267857142857078
